FrameTime (s),SystemTime (UTC),GpsTimeOfWeek (s),PositionX (m),PositionY (m),PositionZ (m)
283.296,2022-08-08 18:08:25,151707,-1520432.45,-5083351.57,3530364.68
284.315,2022-08-08 18:08:26,151708,-1520432.43,-5083351.69,3530364.7
285.317,2022-08-08 18:08:27,151709,-1520432.33,-5083351.77,3530364.62
286.316,2022-08-08 18:08:28,151710,-1520432.27,-5083351.89,3530364.57
287.293,2022-08-08 18:08:29,151711,-1520432.29,-5083352.02,3530364.61
288.299,2022-08-08 18:08:30,151712,-1520432.3,-5083352.17,3530364.63
289.318,2022-08-08 18:08:31,151713,-1520432.3,-5083352.32,3530364.61
290.289,2022-08-08 18:08:32,151714,-1520432.34,-5083352.37,3530364.62
291.297,2022-08-08 18:08:33,151715,-1520432.34,-5083352.35,3530364.61
292.296,2022-08-08 18:08:34,151716,-1520432.32,-5083352.31,3530364.55
293.316,2022-08-08 18:08:35,151717,-1520432.37,-5083352.23,3530364.54
294.32,2022-08-08 18:08:36,151718,-1520432.32,-5083352.21,3530364.47
295.315,2022-08-08 18:08:37,151719,-1520432.37,-5083352.23,3530364.52
296.29,2022-08-08 18:08:38,151720,-1520432.38,-5083352.2,3530364.52
297.316,2022-08-08 18:08:39,151721,-1520432.38,-5083352.31,3530364.52
298.317,2022-08-08 18:08:40,151722,-1520432.37,-5083352.34,3530364.48
299.321,2022-08-08 18:08:41,151723,-1520432.37,-5083352.36,3530364.42
300.313,2022-08-08 18:08:42,151724,-1520432.44,-5083352.29,3530364.43
301.294,2022-08-08 18:08:43,151725,-1520432.48,-5083352.3,3530364.42
302.325,2022-08-08 18:08:44,151726,-1520432.54,-5083352.27,3530364.41
303.298,2022-08-08 18:08:45,151727,-1520432.48,-5083352.26,3530364.29
304.333,2022-08-08 18:08:46,151728,-1520432.54,-5083352.34,3530364.32
305.3,2022-08-08 18:08:47,151729,-1520432.55,-5083352.39,3530364.29
306.288,2022-08-08 18:08:48,151730,-1520432.54,-5083352.47,3530364.25
307.312,2022-08-08 18:08:49,151731,-1520432.49,-5083352.56,3530364.15
308.319,2022-08-08 18:08:50,151732,-1520432.38,-5083352.56,3530363.95
